Date,Poland,Hungary,Republic of Moldova,Slovakia,Romania,Russian Federation,Belarus
2022-03-01,,,,,,,357
2022-03-02,547982,133009,97827,72200,51261,47800,357
2022-03-03,649903,144738,103254,90329,57192,53300,384
2022-03-04,756303,157004,,101529,63192,,406
2022-03-05,885303,169053,84067,113967,71640,,
2022-03-06,1027603,180163,82762,128169,78977,,
2022-03-07,,191348,,140745,,,453
2022-03-08,1412503,214160,,,84671,99300,
2022-03-09,,,,165199,,97098,765
2022-03-10,,225046,104929,176092,,105897,858
2022-03-11,1575703,235576,,185673,,,938
2022-03-12,1655503,246206,,195980,,,
2022-03-13,1720227,255291,106994,204862,,131365,1226
2022-03-14,,263888,337215,213000,453432,142994,1475
2022-03-15,1857045,272943,344454,220977,467703,155841,1816
2022-03-16,1916445,282611,350886,228844,491409,168858,2127
2022-03-17,,291230,355426,234738,508692,184563,2548
2022-03-18,2010693,299273,359056,240009,518269,,
2022-03-19,2050392,305518,362514,245569,527247,,
2022-03-20,2083854,312120,365197,250036,535461,231764,3765
2022-03-21,2113554,317863,367913,253592,543308,252376,4308
2022-03-22,2144244,324397,371104,256838,555021,271254,4938
2022-03-23,2173944,330877,374059,260244,563519,,5569
2022-03-24,2206119,336701,376748,263959,572754,,6341
2022-03-25,2236314,342738,379204,267702,579800,,
2022-03-26,2267103,349107,381395,272012,586942,,
2022-03-27,2293833,354041,383627,275439,595868,,9075
2022-03-29,2336799,364804,387151,281172,608936,350632,10902
2022-03-30,2362044,368807,388837,283824,616592,,11821
2022-03-31,2384814,374535,390187,292039,623627,,12746
2022-04-01,2405703,379988,391592,294885,629917,,
2022-04-02,2429265,385783,392933,298183,635816,,
2022-04-03,2451342,390302,394740,301405,643058,,15281
2022-04-04,2469657,394728,396448,,648410,,16274
2022-04-05,2490447,398932,399039,302417,654825,,17317
2022-04-06,2514504,404021,401704,304983,662751,,18060
2022-04-07,2537769,408652,404257,307772,671334,373589,19096
2022-04-08,2564994,413888,406611,310989,678081,389845,
2022-04-09,2593902,419101,410882,314485,686232,404418,
2022-04-10,2622117,424367,411365,317781,692501,,20739
2022-04-11,2645877,428954,413374,320246,701741,433083,21292
2022-04-12,2669637,434342,415850,323020,709249,,21852
2022-04-13,2694090,440387,417650,326244,716797,471014,22428
2022-04-14,2720622,447053,419499,329597,726857,484725,22827
2022-04-15,2744778,454098,421130,332707,732473,,
2022-04-16,2763786,458654,422550,335243,738862,,
2022-04-17,2780913,461539,423852,337311,743880,522404,23469
2022-04-18,2800713,465598,425227,339680,750693,535842,23609
2022-04-19,2825463,471080,426964,342813,757047,549805,23759
2022-04-20,2847540,476213,428577,346175,763769,563266,23900
2022-04-21,2867241,480974,430170,349286,769616,578255,24084
2022-04-22,2884764,485618,431468,352286,774094,,
2022-04-23,2899713,489754,433214,354329,777602,,
2022-04-24,2909415,492976,433895,355593,,605815,24477
2022-04-25,2922978,496914,435275,357560,782598,614318,24578
2022-04-27,2968716,507849,439290,363940,801453,641752,24857
2022-04-28,2992575,513848,441437,367904,810021,656381,25002
2022-04-29,3014157,519979,443559,371918,817303,,
2022-04-30,,,,,825874,681156,
2022-05-01,3056826,530157,447604,379447,,,
2022-05-02,3075240,534821,448170,382024,836173,,
2022-05-03,3094446,539821,449605,385284,846521,703523,25852
2022-05-04,3119196,545311,450797,388282,854292,714713,
2022-05-05,3143550,551010,452038,391592,856941,727712,26149
2022-05-06,3167805,557001,453848,,,739418,26278
2022-05-08,3217206,568630,456947,402332,880100,,
2022-05-09,3234036,572760,457066,404463,883655,,26985
2022-05-10,3251955,577820,458242,406833,889674,772121,27108
2022-05-11,3272943,583066,459546,409527,895828,785348,27308
2022-05-12,,,,,901696,800104,27308
2022-05-13,3315711,594664,461742,415402,,,
2022-05-15,3357984,605628,463348,421662,919574,838434,
2022-05-16,3376992,610076,464294,424027,924869,850534,